167,110,249,365,504,1296,2162,2684,1209,487,504,56
73,106,126,353,549,1378,2737,2934,2507,899,122,262
161,266,122,279,390,1738,2612,2591,1424,601,132,78
171,69,96,236,439,1404,2534,2185,1474,1138,193,131
147,280,75,310,435,1776,2384,2135,1134,706,386,169
113,93,166,216,448,1158,2068,2370,1374,866,541,234
25,111,188,319,502,1564,3232,2762,2056,501,225,102
61,38,191,166,426,1835,2862,2310,1658,485,149,121
51,256,237,299,177,1721,2630,2833,1900,1007,334,88
79,76,123,282,440,1795,2538,2311,1208,604,347,124
62,94,48,150,449,1255,2329,2699,1565,631,487,69
34,145,178,255,587,1836,2804,1985,2041,907,290,219
131,198,130,392,403,2173,3215,2695,1444,896,332,36
269,122,165,190,848,1285,2741,2324,1652,844,384,58
131,176,131,262,422,1889,2440,2755,1502,953,162,158
104,42,146,421,421,1811,2596,2631,1676,745,596,565
140,149,257,275,451,1511,2566,2419,2097,1168,492,107
41,115,30,148,950,1767,2472,2128,1852,1233,169,38
54,252,76,292,810,1875,2490,2094,1323,426,134,71
48,63,118,399,620,2305,2625,1887,1117,1130,222,65
110,185,107,284,581,1726,1176,2391,1326,651,237,50
47,273,180,275,305,1637,2847,2229,1782,1020,162,128
131,38,57,452,825,1640,2195,2325,1287,898,168,18
157,137,244,333,432,1477,3193,1832,2066,1163,277,100
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
